Simulation,StateR,StateC,TargetR,TargetC,Action,Reward
S1,4,5,3,1,LEFT,1
S1,4,4,3,1,LEFT,1
S1,4,3,3,1,DOWN,-1
S1,5,3,3,1,UP,1
S1,4,3,3,1,LEFT,1
S1,4,2,3,1,LEFT,1
S1,4,1,3,1,RIGHT,-1
S1,4,2,3,1,RIGHT,-1
S1,4,3,3,1,UP,1
S1,3,3,3,1,LEFT,1
S1,3,2,3,1,RIGHT,-1
S1,3,3,3,1,DOWN,-1
S1,4,3,3,1,LEFT,1
S1,4,2,3,1,LEFT,1
S1,4,1,3,1,LEFT,-4
S1,4,5,3,1,DOWN,-1
S1,5,5,3,1,DOWN,0
S1,1,5,3,1,DOWN,1
S1,2,5,3,1,DOWN,1
S1,3,5,3,1,UP,-1
S1,2,5,3,1,UP,-1
S1,1,5,3,1,RIGHT,4
S1,1,1,3,1,UP,0
S1,5,1,3,1,DOWN,0
S1,1,1,3,1,DOWN,1
S1,2,1,3,1,DOWN,1
S2,1,2,1,3,LEFT,-1
S2,1,1,1,3,UP,-4
S2,5,1,1,3,RIGHT,1
S2,5,2,1,3,LEFT,-1
S2,5,1,1,3,LEFT,0
S2,5,5,1,3,DOWN,4
S2,1,5,1,3,UP,-4
S2,5,5,1,3,RIGHT,0
S2,5,1,1,3,DOWN,4
S2,1,1,1,3,RIGHT,1
S2,1,2,1,3,LEFT,-1
S2,1,1,1,3,RIGHT,1
S2,1,2,1,3,UP,-4
S2,5,2,1,3,UP,1
S2,4,2,1,3,UP,1
S2,3,2,1,3,UP,1
S2,2,2,1,3,DOWN,-1
S2,3,2,1,3,UP,1
S2,2,2,1,3,UP,1
S2,1,2,1,3,LEFT,-1
S2,1,1,1,3,LEFT,0
S2,1,5,1,3,LEFT,1
S2,1,4,1,3,RIGHT,-1
S2,1,5,1,3,UP,-4
S2,5,5,1,3,UP,1
S2,4,5,1,3,LEFT,1
S2,4,4,1,3,DOWN,-1
S2,5,4,1,3,DOWN,4
S2,1,4,1,3,UP,-4
S2,5,4,1,3,LEFT,1
S2,5,3,1,3,RIGHT,-1
S2,5,4,1,3,LEFT,1
S2,5,3,1,3,UP,1
S2,4,3,1,3,RIGHT,-1
S2,4,4,1,3,DOWN,-1
S2,5,4,1,3,DOWN,4
S2,1,4,1,3,DOWN,-1
S2,2,4,1,3,UP,1
S2,1,4,1,3,DOWN,-1
S2,2,4,1,3,UP,1
S2,1,4,1,3,LEFT,1
S3,1,5,1,2,DOWN,-1
S3,2,5,1,2,RIGHT,2
S3,2,1,1,2,RIGHT,1
S3,2,2,1,2,DOWN,-1
S3,3,2,1,2,LEFT,-1
S3,3,1,1,2,DOWN,-1
S3,4,1,1,2,UP,1
S3,3,1,1,2,UP,1
S3,2,1,1,2,DOWN,-1
S3,3,1,1,2,RIGHT,1
S3,3,2,1,2,DOWN,-1
S3,4,2,1,2,UP,1
S3,3,2,1,2,DOWN,-1
S3,4,2,1,2,DOWN,-1
S3,5,2,1,2,DOWN,4
S4,1,2,1,4,LEFT,-1
S4,1,1,1,4,RIGHT,1
S4,1,2,1,4,RIGHT,1
S4,1,3,1,4,DOWN,-1
S4,2,3,1,4,LEFT,-1
S4,2,2,1,4,UP,1
S4,1,2,1,4,LEFT,-1
S4,1,1,1,4,DOWN,-1
S4,2,1,1,4,RIGHT,1
S4,2,2,1,4,UP,1
S4,1,2,1,4,RIGHT,1
S4,1,3,1,4,LEFT,-1
S4,1,2,1,4,DOWN,-1
S4,2,2,1,4,UP,1
S4,1,2,1,4,DOWN,-1
S4,2,2,1,4,UP,1
S4,1,2,1,4,RIGHT,1
S4,1,3,1,4,UP,-4
S4,5,3,1,4,UP,1
S4,4,3,1,4,DOWN,-1
S4,5,3,1,4,LEFT,-1
S4,5,2,1,4,RIGHT,1
S4,5,3,1,4,LEFT,-1
S4,5,2,1,4,DOWN,4
S4,1,2,1,4,RIGHT,1
S4,1,3,1,4,RIGHT,1
S5,3,4,5,2,DOWN,1
S5,4,4,5,2,DOWN,1
S5,5,4,5,2,LEFT,1
S5,5,3,5,2,UP,-1
S5,4,3,5,2,DOWN,1
S5,5,3,5,2,LEFT,1
S6,4,3,2,3,UP,1
S6,3,3,2,3,LEFT,-1
S6,3,2,2,3,DOWN,-1
S6,4,2,2,3,LEFT,-1
S6,4,1,2,3,RIGHT,1
S6,4,2,2,3,DOWN,-1
S6,5,2,2,3,DOWN,2
S6,1,2,2,3,DOWN,1
S6,2,2,2,3,UP,-1
S6,1,2,2,3,LEFT,-1
S6,1,1,2,3,UP,-2
S6,5,1,2,3,LEFT,0
S6,5,5,2,3,DOWN,2
S6,1,5,2,3,RIGHT,0
S6,1,1,2,3,DOWN,1
S6,2,1,2,3,UP,-1
S6,1,1,2,3,LEFT,0
S6,1,5,2,3,LEFT,1
S6,1,4,2,3,LEFT,1
S6,1,3,2,3,RIGHT,-1
S6,1,4,2,3,UP,-2
S6,5,4,2,3,RIGHT,-1
S6,5,5,2,3,UP,1
S6,4,5,2,3,RIGHT,0
S6,4,1,2,3,UP,1
S6,3,1,2,3,UP,1
S6,2,1,2,3,RIGHT,1
S6,2,2,2,3,DOWN,-1
S6,3,2,2,3,DOWN,-1
S6,4,2,2,3,UP,1
S6,3,2,2,3,UP,1
S6,2,2,2,3,UP,-1
S6,1,2,2,3,UP,-2
S6,5,2,2,3,LEFT,-1
S6,5,1,2,3,LEFT,0
S6,5,5,2,3,LEFT,1
S6,5,4,2,3,UP,1
S6,4,4,2,3,DOWN,-1
S6,5,4,2,3,LEFT,1
S6,5,3,2,3,RIGHT,-1
S6,5,4,2,3,DOWN,2
S6,1,4,2,3,RIGHT,-1
S6,1,5,2,3,LEFT,1
S6,1,4,2,3,UP,-2
S6,5,4,2,3,LEFT,1
S6,5,3,2,3,LEFT,-1
S6,5,2,2,3,UP,1
S6,4,2,2,3,DOWN,-1
S6,5,2,2,3,DOWN,2
S6,1,2,2,3,DOWN,1
S6,2,2,2,3,RIGHT,1
S7,4,3,2,4,DOWN,-1
S7,5,3,2,4,DOWN,2
S7,1,3,2,4,DOWN,1
S7,2,3,2,4,RIGHT,1
S8,1,3,2,1,UP,-2
S8,5,3,2,1,UP,1
S8,4,3,2,1,DOWN,-1
S8,5,3,2,1,RIGHT,-1
S8,5,4,2,1,LEFT,1
S8,5,3,2,1,DOWN,2
S8,1,3,2,1,RIGHT,-1
S8,1,4,2,1,UP,-2
S8,5,4,2,1,DOWN,2
S8,1,4,2,1,DOWN,1
S8,2,4,2,1,DOWN,-1
S8,3,4,2,1,LEFT,1
S8,3,3,2,1,UP,1
S8,2,3,2,1,LEFT,1
S8,2,2,2,1,RIGHT,-1
S8,2,3,2,1,LEFT,1
S8,2,2,2,1,RIGHT,-1
S8,2,3,2,1,LEFT,1
S8,2,2,2,1,DOWN,-1
S8,3,2,2,1,LEFT,1
S8,3,1,2,1,UP,1
S9,4,4,2,1,UP,1
S9,3,4,2,1,DOWN,-1
S9,4,4,2,1,RIGHT,-1
S9,4,5,2,1,UP,1
S9,3,5,2,1,LEFT,1
S9,3,4,2,1,RIGHT,-1
S9,3,5,2,1,RIGHT,4
S9,3,1,2,1,DOWN,-1
S9,4,1,2,1,RIGHT,-1
S9,4,2,2,1,RIGHT,-1
S9,4,3,2,1,LEFT,1
S9,4,2,2,1,RIGHT,-1
S9,4,3,2,1,RIGHT,-1
S9,4,4,2,1,DOWN,-1
S9,5,4,2,1,UP,1
S9,4,4,2,1,RIGHT,-1
S9,4,5,2,1,RIGHT,4
S9,4,1,2,1,LEFT,-4
S9,4,5,2,1,DOWN,-1
S9,5,5,2,1,UP,1
S9,4,5,2,1,UP,1
S9,3,5,2,1,UP,1
S9,2,5,2,1,LEFT,1
S9,2,4,2,1,DOWN,-1
S9,3,4,2,1,UP,1
S9,2,4,2,1,DOWN,-1
S9,3,4,2,1,LEFT,1
S9,3,3,2,1,RIGHT,-1
S9,3,4,2,1,DOWN,-1
S9,4,4,2,1,UP,1
S9,3,4,2,1,RIGHT,-1
S9,3,5,2,1,DOWN,-1
S9,4,5,2,1,DOWN,-1
S9,5,5,2,1,RIGHT,4
S9,5,1,2,1,UP,1
S9,4,1,2,1,DOWN,-1
S9,5,1,2,1,UP,1
S9,4,1,2,1,RIGHT,-1
S9,4,2,2,1,LEFT,1
S9,4,1,2,1,DOWN,-1
S9,5,1,2,1,DOWN,2
S9,1,1,2,1,RIGHT,-1
S9,1,2,2,1,LEFT,1
S9,1,1,2,1,RIGHT,-1
S9,1,2,2,1,LEFT,1
S9,1,1,2,1,DOWN,1
S10,4,1,1,1,DOWN,-1
S10,5,1,1,1,UP,1
S10,4,1,1,1,LEFT,-4
S10,4,5,1,1,RIGHT,4
S10,4,1,1,1,DOWN,-1
S10,5,1,1,1,LEFT,-4
S10,5,5,1,1,DOWN,4
S10,1,5,1,1,RIGHT,4
S11,4,2,1,2,DOWN,-1
S11,5,2,1,2,LEFT,-1
S11,5,1,1,2,DOWN,4
S11,1,1,1,2,RIGHT,1
S12,1,3,5,1,RIGHT,-1
S12,1,4,5,1,UP,4
S12,5,4,5,1,RIGHT,-1
S12,5,5,5,1,LEFT,1
S12,5,4,5,1,LEFT,1
S12,5,3,5,1,RIGHT,-1
S12,5,4,5,1,LEFT,1
S12,5,3,5,1,UP,-1
S12,4,3,5,1,RIGHT,-1
S12,4,4,5,1,UP,-1
S12,3,4,5,1,DOWN,1
S12,4,4,5,1,RIGHT,-1
S12,4,5,5,1,UP,-1
S12,3,5,5,1,DOWN,1
S12,4,5,5,1,DOWN,1
S12,5,5,5,1,LEFT,1
S12,5,4,5,1,DOWN,-4
S12,1,4,5,1,LEFT,1
S12,1,3,5,1,UP,4
S12,5,3,5,1,UP,-1
S12,4,3,5,1,RIGHT,-1
S12,4,4,5,1,UP,-1
S12,3,4,5,1,LEFT,1
S12,3,3,5,1,RIGHT,-1
S12,3,4,5,1,UP,-1
S12,2,4,5,1,RIGHT,-1
S12,2,5,5,1,RIGHT,4
S12,2,1,5,1,DOWN,1
S12,3,1,5,1,DOWN,1
S12,4,1,5,1,RIGHT,-1
S12,4,2,5,1,RIGHT,-1
S12,4,3,5,1,DOWN,1
S12,5,3,5,1,UP,-1
S12,4,3,5,1,DOWN,1
S12,5,3,5,1,DOWN,-4
S12,1,3,5,1,UP,4
S12,5,3,5,1,LEFT,1
S12,5,2,5,1,UP,-1
S12,4,2,5,1,UP,-1
S12,3,2,5,1,LEFT,1
S12,3,1,5,1,LEFT,-4
S12,3,5,5,1,UP,-1
S12,2,5,5,1,RIGHT,4
S12,2,1,5,1,DOWN,1
S12,3,1,5,1,UP,-1
S12,2,1,5,1,DOWN,1
S12,3,1,5,1,DOWN,1
S12,4,1,5,1,RIGHT,-1
S12,4,2,5,1,RIGHT,-1
S12,4,3,5,1,RIGHT,-1
S12,4,4,5,1,UP,-1
S12,3,4,5,1,UP,-1
S12,2,4,5,1,UP,-1
S12,1,4,5,1,UP,4
S12,5,4,5,1,DOWN,-4
S12,1,4,5,1,UP,4
S12,5,4,5,1,RIGHT,-1
S12,5,5,5,1,RIGHT,4
S13,3,4,1,1,UP,1
S13,2,4,1,1,RIGHT,-1
S13,2,5,1,1,RIGHT,4
S13,2,1,1,1,RIGHT,-1
S13,2,2,1,1,DOWN,-1
S13,3,2,1,1,DOWN,-1
S13,4,2,1,1,LEFT,1
S13,4,1,1,1,RIGHT,-1
S13,4,2,1,1,LEFT,1
S13,4,1,1,1,UP,1
S13,3,1,1,1,UP,1
S13,2,1,1,1,DOWN,-1
S13,3,1,1,1,LEFT,-4
S13,3,5,1,1,DOWN,-1
S13,4,5,1,1,LEFT,1
S13,4,4,1,1,DOWN,-1
S13,5,4,1,1,LEFT,1
S13,5,3,1,1,UP,1
S13,4,3,1,1,LEFT,1
S13,4,2,1,1,UP,1
S13,3,2,1,1,RIGHT,-1
S13,3,3,1,1,RIGHT,-1
S13,3,4,1,1,RIGHT,-1
S13,3,5,1,1,RIGHT,4
S13,3,1,1,1,DOWN,-1
S13,4,1,1,1,RIGHT,-1
S13,4,2,1,1,RIGHT,-1
S13,4,3,1,1,DOWN,-1
S13,5,3,1,1,UP,1
S13,4,3,1,1,LEFT,1
S13,4,2,1,1,UP,1
S13,3,2,1,1,DOWN,-1
S13,4,2,1,1,LEFT,1
S13,4,1,1,1,UP,1
S13,3,1,1,1,UP,1
S13,2,1,1,1,DOWN,-1
S13,3,1,1,1,DOWN,-1
S13,4,1,1,1,LEFT,-4
S13,4,5,1,1,DOWN,-1
S13,5,5,1,1,DOWN,4
S13,1,5,1,1,RIGHT,4
S14,2,2,2,4,DOWN,-1
S14,3,2,2,4,LEFT,-1
S14,3,1,2,4,LEFT,2
S14,3,5,2,4,DOWN,-1
S14,4,5,2,4,RIGHT,-2
S14,4,1,2,4,LEFT,2
S14,4,5,2,4,LEFT,1
S14,4,4,2,4,UP,1
S14,3,4,2,4,LEFT,-1
S14,3,3,2,4,LEFT,-1
S14,3,2,2,4,DOWN,-1
S14,4,2,2,4,RIGHT,1
S14,4,3,2,4,DOWN,-1
S14,5,3,2,4,LEFT,-1
S14,5,2,2,4,RIGHT,1
S14,5,3,2,4,DOWN,2
S14,1,3,2,4,DOWN,1
S14,2,3,2,4,UP,-1
S14,1,3,2,4,DOWN,1
S14,2,3,2,4,RIGHT,1
S15,4,3,3,1,LEFT,1
S15,4,2,3,1,RIGHT,-1
S15,4,3,3,1,RIGHT,-1
S15,4,4,3,1,UP,1
S15,3,4,3,1,LEFT,1
S15,3,3,3,1,DOWN,-1
S15,4,3,3,1,UP,1
S15,3,3,3,1,DOWN,-1
S15,4,3,3,1,LEFT,1
S15,4,2,3,1,DOWN,-1
S15,5,2,3,1,DOWN,0
S15,1,2,3,1,RIGHT,-1
S15,1,3,3,1,RIGHT,-1
S15,1,4,3,1,LEFT,1
S15,1,3,3,1,LEFT,1
S15,1,2,3,1,LEFT,1
S15,1,1,3,1,UP,0
S15,5,1,3,1,UP,1
S15,4,1,3,1,DOWN,-1
S15,5,1,3,1,UP,1
S15,4,1,3,1,UP,1
S16,2,3,3,4,UP,-1
S16,1,3,3,4,DOWN,1
S16,2,3,3,4,UP,-1
S16,1,3,3,4,DOWN,1
S16,2,3,3,4,LEFT,-1
S16,2,2,3,4,LEFT,-1
S16,2,1,3,4,LEFT,2
S16,2,5,3,4,DOWN,1
S16,3,5,3,4,RIGHT,-2
S16,3,1,3,4,RIGHT,1
S16,3,2,3,4,LEFT,-1
S16,3,1,3,4,DOWN,-1
S16,4,1,3,4,LEFT,2
S16,4,5,3,4,UP,1
S16,3,5,3,4,UP,-1
S16,2,5,3,4,UP,-1
S16,1,5,3,4,RIGHT,-2
S16,1,1,3,4,RIGHT,1
S16,1,2,3,4,DOWN,1
S16,2,2,3,4,LEFT,-1
S16,2,1,3,4,RIGHT,1
S16,2,2,3,4,UP,-1
S16,1,2,3,4,RIGHT,1
S16,1,3,3,4,DOWN,1
S16,2,3,3,4,UP,-1
S16,1,3,3,4,LEFT,-1
S16,1,2,3,4,RIGHT,1
S16,1,3,3,4,RIGHT,1
S16,1,4,3,4,LEFT,-1
S16,1,3,3,4,UP,0
S16,5,3,3,4,LEFT,-1
S16,5,2,3,4,RIGHT,1
S16,5,3,3,4,UP,1
S16,4,3,3,4,RIGHT,1
S16,4,4,3,4,UP,1
S17,1,3,4,1,UP,2
S17,5,3,4,1,LEFT,1
S17,5,2,4,1,DOWN,-2
S17,1,2,4,1,DOWN,1
S17,2,2,4,1,LEFT,1
S17,2,1,4,1,LEFT,-4
S17,2,5,4,1,DOWN,1
S17,3,5,4,1,DOWN,1
S17,4,5,4,1,UP,-1
S17,3,5,4,1,DOWN,1
S17,4,5,4,1,LEFT,1
S17,4,4,4,1,RIGHT,-1
S17,4,5,4,1,LEFT,1
S17,4,4,4,1,LEFT,1
S17,4,3,4,1,RIGHT,-1
S17,4,4,4,1,DOWN,-1
S17,5,4,4,1,RIGHT,-1
S17,5,5,4,1,LEFT,1
S17,5,4,4,1,LEFT,1
S17,5,3,4,1,LEFT,1
S17,5,2,4,1,UP,1
S17,4,2,4,1,RIGHT,-1
S17,4,3,4,1,UP,-1
S17,3,3,4,1,UP,-1
S17,2,3,4,1,RIGHT,-1
S17,2,4,4,1,RIGHT,-1
S17,2,5,4,1,UP,-1
S17,1,5,4,1,UP,2
S17,5,5,4,1,UP,1
S17,4,5,4,1,RIGHT,4
S18,1,1,4,3,RIGHT,1
S18,1,2,4,3,RIGHT,1
S18,1,3,4,3,DOWN,1
S18,2,3,4,3,RIGHT,-1
S18,2,4,4,3,LEFT,1
S18,2,3,4,3,RIGHT,-1
S18,2,4,4,3,UP,-1
S18,1,4,4,3,DOWN,1
S18,2,4,4,3,LEFT,1
S18,2,3,4,3,DOWN,1
S18,3,3,4,3,UP,-1
S18,2,3,4,3,LEFT,-1
S18,2,2,4,3,LEFT,-1
S18,2,1,4,3,UP,-1
S18,1,1,4,3,UP,2
S18,5,1,4,3,LEFT,0
S18,5,5,4,3,RIGHT,0
S18,5,1,4,3,LEFT,0
S18,5,5,4,3,DOWN,-2
S18,1,5,4,3,UP,2
S18,5,5,4,3,DOWN,-2
S18,1,5,4,3,RIGHT,0
S18,1,1,4,3,RIGHT,1
S18,1,2,4,3,DOWN,1
S18,2,2,4,3,DOWN,1
S18,3,2,4,3,LEFT,-1
S18,3,1,4,3,LEFT,0
S18,3,5,4,3,UP,-1
S18,2,5,4,3,LEFT,1
S18,2,4,4,3,RIGHT,-1
S18,2,5,4,3,DOWN,1
S18,3,5,4,3,UP,-1
S18,2,5,4,3,DOWN,1
S18,3,5,4,3,RIGHT,0
S18,3,1,4,3,DOWN,1
S18,4,1,4,3,DOWN,-1
S18,5,1,4,3,LEFT,0
S18,5,5,4,3,DOWN,-2
S18,1,5,4,3,LEFT,1
S18,1,4,4,3,LEFT,1
S18,1,3,4,3,UP,2
S18,5,3,4,3,DOWN,-2
S18,1,3,4,3,UP,2
S18,5,3,4,3,RIGHT,-1
S18,5,4,4,3,DOWN,-2
S18,1,4,4,3,LEFT,1
S18,1,3,4,3,DOWN,1
S18,2,3,4,3,RIGHT,-1
S18,2,4,4,3,DOWN,1
S18,3,4,4,3,RIGHT,-1
S18,3,5,4,3,UP,-1
S18,2,5,4,3,DOWN,1
S18,3,5,4,3,UP,-1
S18,2,5,4,3,DOWN,1
S18,3,5,4,3,DOWN,1
S18,4,5,4,3,LEFT,1
S18,4,4,4,3,UP,-1
S18,3,4,4,3,DOWN,1
S18,4,4,4,3,UP,-1
S18,3,4,4,3,DOWN,1
S18,4,4,4,3,RIGHT,-1
S18,4,5,4,3,LEFT,1
S18,4,4,4,3,RIGHT,-1
S18,4,5,4,3,RIGHT,0
S18,4,1,4,3,LEFT,0
S18,4,5,4,3,LEFT,1
S18,4,4,4,3,UP,-1
S18,3,4,4,3,RIGHT,-1
S18,3,5,4,3,DOWN,1
S18,4,5,4,3,LEFT,1
S18,4,4,4,3,LEFT,1
S19,4,4,3,4,DOWN,-1
S19,5,4,3,4,LEFT,-1
S19,5,3,3,4,LEFT,-1
S19,5,2,3,4,LEFT,-1
S19,5,1,3,4,DOWN,0
S19,1,1,3,4,DOWN,1
S19,2,1,3,4,DOWN,1
S19,3,1,3,4,RIGHT,1
S19,3,2,3,4,LEFT,-1
S19,3,1,3,4,LEFT,2
S19,3,5,3,4,DOWN,-1
S19,4,5,3,4,UP,1
S19,3,5,3,4,DOWN,-1
S19,4,5,3,4,UP,1
S19,3,5,3,4,LEFT,1
S20,1,1,2,1,LEFT,-4
S20,1,5,2,1,LEFT,1
S20,1,4,2,1,DOWN,1
S20,2,4,2,1,DOWN,-1
S20,3,4,2,1,DOWN,-1
S20,4,4,2,1,LEFT,1
S20,4,3,2,1,UP,1
S20,3,3,2,1,UP,1
S20,2,3,2,1,RIGHT,-1
S20,2,4,2,1,UP,-1
S20,1,4,2,1,DOWN,1
S20,2,4,2,1,LEFT,1
S20,2,3,2,1,RIGHT,-1
S20,2,4,2,1,RIGHT,-1
S20,2,5,2,1,UP,-1
S20,1,5,2,1,DOWN,1
S20,2,5,2,1,RIGHT,4
S21,4,2,2,2,UP,1
S21,3,2,2,2,RIGHT,-1
S21,3,3,2,2,LEFT,1
S21,3,2,2,2,LEFT,-1
S21,3,1,2,2,LEFT,-2
S21,3,5,2,2,UP,1
S21,2,5,2,2,LEFT,1
S21,2,4,2,2,DOWN,-1
S21,3,4,2,2,UP,1
S21,2,4,2,2,DOWN,-1
S21,3,4,2,2,RIGHT,-1
S21,3,5,2,2,DOWN,-1
S21,4,5,2,2,LEFT,1
S21,4,4,2,2,DOWN,-1
S21,5,4,2,2,DOWN,2
S21,1,4,2,2,DOWN,1
S21,2,4,2,2,UP,-1
S21,1,4,2,2,UP,-2
S21,5,4,2,2,DOWN,2
S21,1,4,2,2,LEFT,1
S21,1,3,2,2,UP,-2
S21,5,3,2,2,LEFT,1
S21,5,2,2,2,LEFT,-1
S21,5,1,2,2,LEFT,-2
S21,5,5,2,2,UP,1
S21,4,5,2,2,UP,1
S21,3,5,2,2,UP,1
S21,2,5,2,2,UP,-1
S21,1,5,2,2,DOWN,1
S21,2,5,2,2,LEFT,1
S21,2,4,2,2,DOWN,-1
S21,3,4,2,2,RIGHT,-1
S21,3,5,2,2,RIGHT,2
S21,3,1,2,2,LEFT,-2
S21,3,5,2,2,DOWN,-1
S21,4,5,2,2,UP,1
S21,3,5,2,2,DOWN,-1
S21,4,5,2,2,UP,1
S21,3,5,2,2,LEFT,1
S21,3,4,2,2,RIGHT,-1
S21,3,5,2,2,DOWN,-1
S21,4,5,2,2,UP,1
S21,3,5,2,2,RIGHT,2
S21,3,1,2,2,UP,1
S21,2,1,2,2,LEFT,-2
S21,2,5,2,2,LEFT,1
S21,2,4,2,2,LEFT,1
S21,2,3,2,2,LEFT,1
S22,4,1,2,4,DOWN,-1
S22,5,1,2,4,LEFT,2
S22,5,5,2,4,DOWN,2
S22,1,5,2,4,RIGHT,-2
S22,1,1,2,4,DOWN,1
S22,2,1,2,4,RIGHT,1
S22,2,2,2,4,UP,-1
S22,1,2,2,4,LEFT,-1
S22,1,1,2,4,RIGHT,1
S22,1,2,2,4,UP,-2
S22,5,2,2,4,RIGHT,1
S22,5,3,2,4,RIGHT,1
S22,5,4,2,4,RIGHT,-1
S22,5,5,2,4,LEFT,1
S22,5,4,2,4,LEFT,-1
S22,5,3,2,4,DOWN,2
S22,1,3,2,4,UP,-2
S22,5,3,2,4,LEFT,-1
S22,5,2,2,4,LEFT,-1
S22,5,1,2,4,RIGHT,1
S22,5,2,2,4,DOWN,2
S22,1,2,2,4,UP,-2
S22,5,2,2,4,LEFT,-1
S22,5,1,2,4,UP,1
S22,4,1,2,4,DOWN,-1
S22,5,1,2,4,DOWN,2
S22,1,1,2,4,DOWN,1
S22,2,1,2,4,RIGHT,1
S22,2,2,2,4,UP,-1
S22,1,2,2,4,LEFT,-1
S22,1,1,2,4,LEFT,2
S22,1,5,2,4,LEFT,1
S22,1,4,2,4,UP,-2
S22,5,4,2,4,LEFT,-1
S22,5,3,2,4,DOWN,2
S22,1,3,2,4,RIGHT,1
S22,1,4,2,4,DOWN,1
S23,2,2,2,1,LEFT,1
S24,4,1,3,3,RIGHT,1
S24,4,2,3,3,RIGHT,1
S24,4,3,3,3,UP,1
S25,4,4,2,3,DOWN,-1
S25,5,4,2,3,DOWN,2
S25,1,4,2,3,UP,-2
S25,5,4,2,3,RIGHT,-1
S25,5,5,2,3,UP,1
S25,4,5,2,3,LEFT,1
S25,4,4,2,3,LEFT,1
S25,4,3,2,3,UP,1
S25,3,3,2,3,LEFT,-1
S25,3,2,2,3,LEFT,-1
S25,3,1,2,3,RIGHT,1
S25,3,2,2,3,DOWN,-1
S25,4,2,2,3,UP,1
S25,3,2,2,3,DOWN,-1
S25,4,2,2,3,LEFT,-1
S25,4,1,2,3,UP,1
S25,3,1,2,3,DOWN,-1
S25,4,1,2,3,UP,1
S25,3,1,2,3,UP,1
S25,2,1,2,3,DOWN,-1
S25,3,1,2,3,RIGHT,1
S25,3,2,2,3,LEFT,-1
S25,3,1,2,3,DOWN,-1
S25,4,1,2,3,DOWN,-1
S25,5,1,2,3,DOWN,2
S25,1,1,2,3,UP,-2
S25,5,1,2,3,DOWN,2
S25,1,1,2,3,DOWN,1
S25,2,1,2,3,RIGHT,1
S25,2,2,2,3,DOWN,-1
S25,3,2,2,3,UP,1
S25,2,2,2,3,LEFT,-1
S25,2,1,2,3,DOWN,-1
S25,3,1,2,3,LEFT,0
S25,3,5,2,3,DOWN,-1
S25,4,5,2,3,DOWN,-1
S25,5,5,2,3,UP,1
S25,4,5,2,3,LEFT,1
S25,4,4,2,3,DOWN,-1
S25,5,4,2,3,LEFT,1
S25,5,3,2,3,RIGHT,-1
S25,5,4,2,3,DOWN,2
S25,1,4,2,3,LEFT,1
S25,1,3,2,3,DOWN,1
S26,1,1,1,1,RIGHT,-1
S26,1,2,1,1,DOWN,-1
S26,2,2,1,1,UP,1
S26,1,2,1,1,UP,-4
